steam_id,appid,game_name,playtime_forever,playtime_2weeks,engagement_ratio,game_count,recent_active_games,avg_playtime,top_game_ratio,status,status_label
76561198394594812,730,Counter-Strike 2,110362,0,0.0,104,1,2247.97,0.4721,2,churn
76561198395920867,730,Counter-Strike 2,232966,0,0.0,38,1,7474.55,0.8202,2,churn
76561198403353885,578080,PUBG: BATTLEGROUNDS,136021,132,0.001,77,3,6609.4,0.2673,1,possivel_churn
76561198407812410,730,Counter-Strike 2,64765,0,0.0,5,0,13075.6,0.9906,2,churn
76561198412671873,730,Counter-Strike 2,64546,0,0.0,12,0,5431.75,0.9903,2,churn
76561198441917116,730,Counter-Strike 2,11077,0,0.0,5,0,2284.0,0.97,2,churn
76561198444678573,730,Counter-Strike 2,56417,0,0.0,100,0,1939.2,0.2909,2,churn
76561198521953660,730,Counter-Strike 2,156976,0,0.0,125,5,6382.61,0.1968,2,churn
76561198799844028,730,Counter-Strike 2,102564,0,0.0,37,0,4177.03,0.6636,2,churn
76561198803061032,730,Counter-Strike 2,151607,698,0.0046,96,3,3374.46,0.468,0,ativo
